height_cm,media,price_gbp,title,url,width_cm
30,Acrylic paint on sprayed board,£240.00,P10 by Olly Fathers,https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,30
17,"24k gold leaf, white casting cement and ground iron",£440.00,Meld 1 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-1-by-vic-wright,14
12,"Lichen gilded with 24k gold leaf, moss with ground copper, and white casting cement",£280.00,"Standing White , black & gold by Vic Wright",https://www.bearspace.co.uk/product-page/standing-white-black-gold-by-vic-wright,6
15,"24k goldleaf, white and black cement with iron",£320.00,Meld 2 by Vic Wright,https://www.bearspace.co.uk/product-page/meld-2-by-vic-wright,12
10,13k gold leaf and grey casting cement.,£140.00,Facet by Vic Wright,https://www.bearspace.co.uk/product-page/facet-by-vic-wright,6
12,Black and white casting cement with 24k gold leaf,£320.00,Conversation 2 by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-2-by-vic-wright,8
8.5,"18k goldleaf, grey casting cement and white wax.",£140.00,Ore by Vic Wright,https://www.bearspace.co.uk/product-page/ore-by-vic-wright,8
16.5,18K gold leaf and white casting cement,£440.00,Conversation by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-by-vic-wright,13
12,"Fine white casting cement, ink, crystals and 24k gold leaf",£340.00,Conversation 3 by Vic Wright,https://www.bearspace.co.uk/product-page/conversation-3-by-vic-wright,10
58,,"£1,200.00",Green Sanctuary by Dionne Cole,https://www.bearspace.co.uk/product-page/green-sanctuary-by-dionne-cole,85.5
80,Digital print with dissolved ink,£990.00,(GCS) High Rise - Jane Ward,https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,60
8,"Fine white casting cement, ink and 24k gold leaf",£140.00,Facet 5 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-5-by-vic-wright,6.5
7,"24k gold leaf, white casting cement and ink",£140.00,Facet 2 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-2-by-vic-wright,7
30.5,,£490.00,Shades of Coral II by Dionne Cole,https://www.bearspace.co.uk/product-page/shades-of-coral-ii-by-dionne-cole,40.7
7,"Fine white casting cement, ink and 18k gold",£140.00,Facet 3 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-3-by-vic-wright,7
92,Sculpted hand and laser cut paper,"£2,800.00",Flight by Dionne Cole,https://www.bearspace.co.uk/product-page/flight-by-dionne-cole,155
7.5,Fine white casting cement and 24k gold leaf,£140.00,Facet 4 by Vic Wright,https://www.bearspace.co.uk/product-page/facet-4-by-vic-wright,6
68,,£690.00,Feralis by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,55
60,,£690.00,Gloaming by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,40
100,,£690.00,Athne by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,50
92,,£690.00,Boondocks by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,45
84,Archival Digital Print,£940.00,Walking Out Over Ice in Midsummer 1 by Janie Kidston,https://www.bearspace.co.uk/product-page/walking-out-over-ice-in-midsummer-1,59
50,,£540.00,"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,60
50,,£540.00,"'Retreating, then advancing repeatedly over the centuries'5 by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-5,60
50,,£540.00,"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,60
100,,£690.00,Bayou,https://www.bearspace.co.uk/product-page/bayou,44
50,,£540.00,Moving from the side of the valley by Janie Kidston,https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,60
39,Acrylic and oil on board 2016,£640.00,Lucinda Metcalfe - Neon Pool,https://www.bearspace.co.uk/product-page/neon-pool,49.5
50,,£490.00,Jubellied (joy song) by Nadja Gabriela Plein,https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,41
90,,£940.00,Sky Walk by Jane ward,https://www.bearspace.co.uk/product-page/sky-walk-by-jane-ward,70
90,,£940.00,Castle by Jane Ward,https://www.bearspace.co.uk/product-page/castle-by-jane-ward,70
43,,£640.00,Heated Discussion by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,38
60,,£490.00,Garden City State 1b by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1b-by-jane-ward,45
125,,"£1,400.00",Amongst the Impcat Scars by Jane Ward,https://www.bearspace.co.uk/product-page/amongst-the-impcat-scars,90
60,,£490.00,Garden City State 1a by Jane Ward,https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,45
